,economy,YR2015,YR2016,YR2017,YR2018
0,AUT,0.521226518486455,0.514658532017354,0.5182145789447,0.508252963113079
1,BEL,2.82204653764541,3.1011849517749,3.13302963446759,3.71075532503756
2,CYP,13.813949269589,16.6570634738492,16.6223670921613,17.5762745703033
3,DEU,1.29550739530008,1.31321109675261,1.33275705077594,1.35347572674395
4,ESP,2.97299615441732,3.20543665722233,3.00478833085862,3.03124348275361
5,EST,17.5366013003147,19.4329363176157,21.7379785246058,23.5736466718028
6,FIN,3.63635420999089,3.9314860982721,4.02442788200824,4.28944347534796
7,FRA,4.11740454028696,4.53048019016391,4.75293967441935,4.83275612090948
8,GRC,0.678740505891928,0.827089050736232,1.11658743848517,1.43816019866644
9,IRL,6.25211379517662,6.7030970569689,7.06776081040751,7.05188309433469
10,ITA,2.55896761475133,2.62565332841117,2.85757232672014,2.961075068069
11,LTU,3.19067316289924,3.33576829014042,3.52529714214054,3.31339584330344
12,LUX,16.7472258152359,15.2968430391601,15.9361784390902,17.1900429927467
13,LVA,9.70653038907325,8.09020512068667,7.44516168117171,8.00238838517903
14,MLT,18.020737937813,16.9469107021808,17.1114808436388,17.4451819797299
15,NLD,,2.84414527968828,2.87845945490811,2.96767766305879
16,PRT,5.05599679450989,5.01686675642591,5.63110963630025,6.49098129382718
17,SVK,3.24564992933637,4.74091423147844,5.2350445981516,5.25363023371902
18,SVN,3.943554900936,3.07571973583203,3.30463263793472,3.03747348295976
